City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Bokoro,TD,2022-08-31 02:01:40,12.3807,17.0568,78.71,79,99,7.7
137,Bambous Virieux,MU,2022-08-31 02:01:40,-20.3428,57.7575,64.65,94,40,3.44
138,Kavieng,PG,2022-08-31 02:01:40,-2.5744,150.7967,85.23,70,20,13.31
139,Sarangani,PH,2022-08-31 02:01:41,5.4033,125.4636,83.88,65,95,3.36
140,Santa Maria,BR,2022-08-31 02:01:41,-29.6842,-53.8069,50.27,90,0,7.36
141,Mae Chan,TH,2022-08-31 02:01:42,20.1467,99.8526,85.23,72,24,1.99
142,Saldanha,ZA,2022-08-31 02:01:42,-33.0117,17.9442,51.73,56,0,16.98
143,Tautira,PF,2022-08-31 02:01:42,-17.7333,-149.15,76.66,76,39,15.23
144,Bredasdorp,ZA,2022-08-31 02:01:43,-34.5322,20.0403,51.67,68,0,21.12
145,Naze,JP,2022-08-31 02:01:43,28.3667,129.4833,82.56,84,100,18.61
146,Turukhansk,RU,2022-08-31 02:01:43,65.8167,87.9833,39.25,90,100,13.58
147,Soyo,AO,2022-08-31 02:01:44,-6.1349,12.3689,71.8,89,69,9.57
148,Asau,RO,2022-08-31 02:01:44,46.4333,26.4,63.52,94,79,2.95
149,Brae,GB,2022-08-31 02:01:44,60.3964,-1.353,54.0,76,100,9.98
150,Albion,US,2022-08-31 02:01:45,42.2431,-84.753,66.33,85,0,0.0
151,Mecca,SA,2022-08-31 01:58:45,21.4267,39.8261,90.01,35,7,4.97
152,Kirakira,SB,2022-08-31 02:01:45,-10.4544,161.9205,83.21,77,96,14.67
153,Varazze,IT,2022-08-31 02:01:46,44.3595,8.5741,74.53,88,87,1.99
154,Esperance,AU,2022-08-31 02:01:46,-33.8667,121.9,57.25,64,4,4.61
155,Alta Floresta,BR,2022-08-31 02:01:46,-9.8756,-56.0861,75.79,32,2,2.82
156,Yellowknife,CA,2022-08-31 02:01:46,62.456,-114.3525,52.75,94,100,15.37
157,Husavik,IS,2022-08-31 02:01:47,66.0449,-17.3389,53.92,86,100,6.44
158,Quimper,FR,2022-08-31 01:59:58,48.0,-4.1,66.78,68,0,6.91
159,Cockburn Town,TC,2022-08-31 02:01:47,21.4612,-71.1419,83.17,79,10,15.26
160,Ukiah,US,2022-08-31 02:00:11,39.1502,-123.2078,87.44,55,0,4.34
161,Vanimo,PG,2022-08-31 02:01:48,-2.6741,141.3028,86.07,64,22,6.91
162,Monterey,US,2022-08-31 02:01:48,36.2505,-121.2516,85.17,1,0,8.79
163,Dingle,PH,2022-08-31 02:01:48,10.9995,122.6711,85.26,74,57,5.41
164,Singapore,SG,2022-08-31 02:01:02,1.2897,103.8501,84.09,74,75,5.75
165,Aswan,EG,2022-08-31 02:01:49,24.0934,32.907,89.06,30,0,12.24
166,Broome,US,2022-08-31 02:01:49,42.2506,-75.833,65.46,90,100,3.44
167,Wawa,NG,2022-08-31 02:01:49,9.9022,4.4192,71.85,96,100,6.89
168,Isangel,VU,2022-08-31 02:01:50,-19.55,169.2667,76.21,61,63,15.57
169,Saint-Augustin,CA,2022-08-31 02:01:50,51.226,-58.6502,63.99,98,100,6.8
170,Bibiani,GH,2022-08-31 02:01:50,6.4635,-2.3194,69.53,97,98,1.5
171,Atambua,ID,2022-08-31 02:01:51,-9.1061,124.8925,83.91,54,31,2.37
172,Tiksi,RU,2022-08-31 02:01:51,71.6872,128.8694,40.33,96,100,11.03
173,Iqaluit,CA,2022-08-31 02:01:52,63.7506,-68.5145,43.7,56,100,4.74
174,Wenling,CN,2022-08-31 02:01:52,28.3669,121.36,84.81,74,51,13.13
175,Domoni,KM,2022-08-31 02:01:52,-12.2569,44.5319,73.99,83,100,10.49
176,Maceio,BR,2022-08-31 02:00:17,-9.6658,-35.7353,71.04,88,20,5.75
177,Yulara,AU,2022-08-31 02:01:53,-25.2406,130.9889,63.3,32,100,15.14
178,Ayagoz,KZ,2022-08-31 02:01:53,47.9714,80.4392,66.92,31,0,7.67
179,Hilo,US,2022-08-31 02:01:53,19.7297,-155.09,85.28,90,90,5.01
180,Ulu-Telyak,RU,2022-08-31 02:01:54,54.9086,56.9669,61.81,63,100,5.12
181,Narsaq,GL,2022-08-31 02:01:54,60.9167,-46.05,43.02,72,10,3.51
182,Mount Isa,AU,2022-08-31 02:01:34,-20.7333,139.5,80.37,44,13,14.97
183,Mahajanga,MG,2022-08-31 02:01:54,-15.7167,46.3167,75.13,48,73,10.2
184,Cidreira,BR,2022-08-31 02:01:55,-30.1811,-50.2056,58.86,79,0,18.23
185,Muriti,TZ,2022-08-31 02:01:55,-1.9833,32.9167,72.36,71,78,6.46
186,Pangnirtung,CA,2022-08-31 02:01:55,66.1451,-65.7125,42.39,62,6,3.24
187,Katsuura,JP,2022-08-31 02:01:56,35.1333,140.3,83.68,78,42,15.26
